Username,Comment
Soorya Ganesh,"The farm laws could also benefit farmers too, it can increase farmers incomes, get rid of corruption from middle men, give them a larger market,and it further liberates them, and most of the points in the farmer bills were suggested by farmer unions before, and there are plenty of farmers and unions who support the laws.
The farmers get to directly do trade deals with private ownerships without middle men so they won't be scammed by middle men, and also they would be able to settle the prices for their own goods,and they will obviously settle for higher prices than what they get from the msp system, hence making them richer. Most global economists have supported the move as well. Most political parties in India promised to bring similar reforms as well because it was suggested by farmer unions themselves. The Congress govt promised to bring similar reforms in their 2019 election manifesto,but now  they have taken a uturn and are against the laws for some reason. China implemented similar laws in the 60s and their farmers became richer, Israel as well, and also the US. And if farmers work with private ownerships agricultural tech could become better in the country,which could simplify and solve a lot of farmers problems. I find it funny that Greta is against the laws. The laws criminalizes stubble burning, a major source of pollution in the country, so it can reduce pollution,isn't she a climate activist?"
Aviation,I hope farmers get the justice they deserve!
Past,I didnt understand what was happening first when it was showed in local news but u explained it to me
The Royalty Edits,"So basically the Modi has set new laws to which the farmers disagree with, those new laws restrict farmers from making money meaning they cant live their normal life.They cant pay the bills or put money on the table family so of course they start to protest. Not only farmers but the whole world is protesting. No farmers no food "
Avanish Awade,"Fast forward today, there has been a spike in the registered overall production of wheat and rice in Punjab and Haryana.....not because of the Farm Laws isn't it? No, because the Opposition parties are in power in these states......So I wonder how?....."
Rohith Sharma,this video is all of lies and misinformation based on speculation
Sandeep Goud,"One question is still unanswered, why is it only Punjab & Haryana farmers having issue with this bill not the other farmers from various remaining states. No farmers from down south is supporting this movement, why so? Did Vox look into this corner? Journalism needs to see things from hawk eye and need to also take interview from the leaders why did they bring this bill. No government will bring in a new policy just to do injustice to its agricultural industry. I some how feel the whole moment is been misinterpreted to the world by creating ciaos. If the bill is so unjustifiable then it would get condemned by people across entire nation then the government will rethink on its decision. But here I find many rich people from Punjab and Haryana who own mandis have problems. They now don't want to share their abundant income with states like Bihar and rest who are not fortunate to taste the cream."
kaceo brwa,"in a country of 1.3 B people nobody is protesting, only some people from Punjab are protesting, i live in Kerala here farmers are supporting the decision may be because Kerala has the highest literacy rate"
Deepak Damera,Nicely explained
Hornet,I am a son of a farmer too...The law gives free market to poor farmers. The law is beneficial to the farmers.Just some people are creating havocs in the society for their own personal needs.
Sports of Fame,My parents and grandparents all were born in Punjab this all happened Punjab and the rest of India they had a lot of war together
The Health Kitchen,"The new farmer's law eliminates middle men, the money goes directly to farmers so the rich middlemen who controlled the price and got very very rich have issue. The protests are paid drama by those rich middlemen who will lose money."
Jeet Jeet,They're antisocial 
The Health Kitchen,"India has more than 27 states and multiple union territories. Strange that only 1  state, which is rules by opposition is protesting the new farmer's laws while rest all states, many which are ruled by other parties are very happy with these new reforms. Check the propoganda beyond the headlines"
Galeon Jomar,Everything is politic manipulations against the Indian government.
Nikunj Papnejja,"2:16 open auctions with transparent pricing this is the whole issue. Neither the auctions are open nor the pricing transparent. The arthias (dealers) group up in each mandi and decide a common highest bid, above which no other arthia will go. Ground reality is very different then theory. The arthias are bullies. And their is no real oversight in the mandis. The people who are meant to actually overlook the functioning of mandi and protect the farmers do the exact opposite. They team up with the arthias or more precisely, they issue the arthia license only to their family members/relatives to gain monopoly over the market."
Ankhi Soorma,"Fraud protest led by opposition parties and foreign agents. Women are molested there, they have goons and rioters there who also vandalised Red Fort. All pendu goons. Not farmers"
Vidhaat Raman,Today marks the 6th month of these protests.
Raj Brar,"India is a very complex system where the middle class enjoy cheap food prices and farmers receive low prices for their crop as they currently are not allowed to store crop, pay high prices for inputs and don't have the ability to protect themselves with futures contracts. The current system in India is not sufficient to support all the small farmers in India (they lack the scale to produce, store and market their own products). A free market can only work, which these bills seek to do, if both buyers and sellers have equal bargaining power. Smaller farmers are not only lacking the skill but also the knowledge to effective participate in a free market. They free they will be crushed under low prices. The government should offer assistance and compensate for farmers harmed by these laws until the economy normalized. India need to grow beyond having millions of small farmers and the farmers need to accept their faith but I think the government did not do a good job in marketing these bills. Also, the people of Punjab are well off farmers compared to rest of India. If you look at the number of children being sent outside from Punjab to study in college, you would understand why punjabis are at the heart of the protest. They enjoy the highest income in the country from farming. Any threat to their lifestyle would bring about a reaction. Many of those protesting have on name brand clothes, Nike, Adidas, and drive Audis. These aren't the lowly farmers of Bihar."
Treato Please,"It saddens me how people are misunderstanding this. The so called ""Farmers"" left months ago as they started to realize that the law is for their own BENEFIT!!! The people left are not farmers but people related to politics DISGUISED as farmers. Please dont believe lies. The famrers only will benefit by removing the middleman! And This is coming from a guy born in farmer family"
kotha venkat,"Farmers are actually ill informed on these laws. We educted indian who see these videos are also ill informed . We should try to understand the laws first. these laws are actually very good for farmers all across the country. for example it was mentioned there is no limit for stocking the produce, but this thing was only for horticulture produce. it was mentioned that all the prices of the trade will be electronic which is good for every. People should come out of thier old thinking and should understand the laws better."
Harsh Mohan Sinha,Explanation is not enough for this !! Why someone move from one market to other market !! It's all profit
Michael Leonard Setyawijaya_22,India growing population
Shubham Negi,Nice of you to not mention most of the protestors are rice farmers from Punjab and Haryana that only grow it for it's higher MSP.
amarender reddy jali,"And mandis are already dead in most part of India....people will sell to highest price outside market albeit illegally...and some states noticed and gave up on mandi and deregulated it ......now this laws will give big foreign companies or conglomerate who can invest in the storages ,facilities transportation and also help in contracting out the farmers at good prices and offer help in modernization of agriculture....."
